Business name,Website,Full address,Type,City,Quadrant,Primary Contact Name,Phone number,Email,Social Profile,Unnamed: 10
NEA Medical Aesthetic Clinic,https://neamedaesthetics.com/,"#104, 3151 27st NE, Calgary, AB",Medical Aesthetics & Laser Hair Removal,Calgary,NE,Anmol Kapoor,403-230-8812,nea@neaskincare.com,https://ca.linkedin.com/in/anmol-kapoor-48b131193,
Pure Aesthetics Calgary,https://myoasisspa.ca/pure-medical-aesthetics/,"880-16th Avenue SW Calgary, AB, T2R 1J9",Medical Aesthetics and Medical spa,Calgary,SW,Dr. Dave Sinha,403-216-2747,request@experienceoasis.ca,,
The Spa Ritual,https://www.thesparitual.com/,"106 Crowfoot Terrace NW, Calgary, AB T3G 4C8",Medical spa,Calgary,NW,Karen Galan,403 547 9558,rejuvenate@thesparitual.com,,
Alexis Medi Spa,https://alexismedispa.com/,"1111 3 St SE, Calgary, AB T2G 2S8",Medical spa,Calgary,SE,Alexandra Douros,403-402-0247,alexislaserspa@gmail.com / hello@alexismedispa.com,https://ca.linkedin.com/in/alexandra-douros-7929ba159,
Fade Away Laser & Skin Centre,https://fadeawaylaseryxe.com/,"1247-1235 11th Ave SW, Calgary, AB, T3C0M4",Medical spa,Calgary,SW,Noural Salem,403-454-3332,hello@fadeawaylaseryxe.com,https://www.linkedin.com/in/noural-salem-0a208b169/,
DermaVital,https://dermavital.ca/,"#520 - 5920 1a St SW Calgary, AB T2H 0G3",Medical spa,Calgary,SW,Morgan,403-455-2250,clinic@dermavital.ca,,
Calgary Laser Health & Beauty Centre,https://www.calgarylaserhealth.com/,"112 - 108 3 Ave SW Calgary, AB T2P 0E7",Medical spa,Calgary,SW,Sanda Sourang,403-460-5010,calgarylaserhealth@gmail.com,https://www.linkedin.com/in/sandra-sourang-r-ac-tcmd-a5780177/,
D&M Treatments Medispa,https://dmtreatments.com/,"Unit 300, 750 11 St SW, Calgary, AB T2P 3N7",Medical spa,Calgary,SW,Maria and David,403-680-7968,info@dmtreatments.com,,
FLY MediSpa,https://flymedispa.ca/,"UNIT 321- 3333 8 St SE Calgary, AB T2G 3A4",Medical spa,Calgary,SE,Rose Hopkins,403-700-6514,info@flymedispa.ca,https://www.linkedin.com/in/rose-hopkins-62156236/,
Ensoul Aesthetics & Wellness,https://ensoulaesthetics.ca/,"3B – 3200 17th Ave SE Calgary, AB T2A 0P9",Medical spa,Calgary,SE,Kulwinder Rajewal,403-930-9395,k.rajewal@forestlanemedical.ca / info@ensoulwellness.ca,https://www.linkedin.com/in/kulwinder-rajewal-b6410156,
LumiGlow Laser,https://lumiglow-laser.square.site/,"115-9950 Macleod Trail SE Calgary, AB T2J 3K9",Medical spa,Calgary,SE,Elisha Kulawik,403-968-7395,lumiglowlaser@gmail.com,https://www.linkedin.com/in/elisha-kulawik-ba363879/,
Aesthetics Pro,https://www.aestheticspro.ca/,"Unit 303, 320 23 Ave., SW Calgary. AB. Canada.",Medical spa,Calgary,SW,Yawen Carmen Gu,403-984-2789,vip@aestheticspro.ca,https://www.linkedin.com/in/yawen-carmen-gu-b27424204/?originalSubdomain=ca,
Kindred Aesthetics,https://www.kindredaesthetics.ca/,"1526 9 Ave SE #109J Calgary, AB T2G 0T7",Medical spa,Calgary,SE,Robin Maher,403-999-9004,info@kindredaesthetics.ca,https://www.linkedin.com/in/robin-maher-rn-6259201a2/,
Ministry of Skin,https://ministryofskin.ca/,"1918 Kensington Rd. NW #300 Calgary, AB T2N 3R5",Medical spa,Calgary,NW,Sairah Rhemtulla,587-315-9555,sairah@ministryofskin.ca,https://www.linkedin.com/in/sairah-rhemtulla-689b63267/,
Jade skin health,https://www.jadeskin.ca/,"#103 7370 Sierra Morena Blvd SW Calgary, AB T3H 4H9",Medical spa,Calgary,SW,Emily,587-350-4448,jadeskinsignalhill@gmail.com,https://www.facebook.com/emilyjadeesthetics/,
Zen Laser & Skin Calgary,https://www.zenlaserandskin.com/,"1819 4th Street SW Calgary, AB T2S 1W2",Medical spa,Calgary,SW,Emi Girard,587-968-9361,contact@zenlaserandskin.com,https://www.linkedin.com/in/emi-girard-104446176/,
Arlo Medical Injections (Connection with Tritan Lux),https://www.arlomedical.com/,"1331 16th Ave SW Calgary, Alberta T3C 1E2",Medical spa,Calgary,SW,Phil Wong,780-970-2996,phil@arlomedical.com,https://www.linkedin.com/in/philwong85/?originalSubdomain=ca,
Sapphire Spa & Laser,https://www.sapphirespalaser.com/,"8858 Macleod Trl SW #205 , Calgary, AB T2H 0M2",Medical spa,Calgary,SW,Sabrina,825-449-9845,Sapphirespa.laser@outlook.com,,
Vive Medical spa,https://vivemedspa.ca/,"366 Aspen Glen Landing SW #215, Calgary, AB, T3H 0N5",Medical spa,Calgary,SW,Angela Robertshaw,403-237-8428,angela@vivemedspa.ca,https://www.linkedin.com/in/angela-robertshaw-96bb1822/?originalSubdomain=ca,
REIGN Medical spa & Wellness,https://reignmedspa.ca/,"4110A - 7005 Fairmount Dr SE Calgary, AB T2H 0J1",Medical spa,Calgary,SE,Vanessa de Mello,403-903-1995,hello@reignmedspa.ca,https://www.linkedin.com/in/vanessa-de-mello-60781781/?originalSubdomain=ca,
Lifepath MedSpa (Calgary),https://www.lifepathmedspa.com/,"#106, 175 Chestermere Station Way Chestermere, Alberta, T1X 0A4",Medical spa,Calgary,SE,Jed Snatic,(587) 349-5850,chestermere@lifepathwellness.com,,
Calgary MediSpa,https://calgarymedispa.com,"2022 34 Avenue SW, Calgary, AB T2T 2C3, Canada",Medical spa,Calgary,SW,Dr. Peter,(403) 879-1257,info@calgarymedispa.com,https://ca.linkedin.com/in/peter-idahosa-7754a822a?trk=org-employees,
Best Skin Clinic Calgary,https://www.bestskinclinic.ca,"Unit #3160, 2 Royal Vista Link Northwest, Calgary, Alberta T3R 0K4, Canada",Medical spa,Calgary,NW,Serena Zheng,(587) 899-9928,info@bestskinclinic.ca,,
Viso Medi Spa & Boutique,https://visoboutique.com/,"106B 303 Centre St SW, Calgary, AB T2G 2B9",Medical spa,Calgary,SW,Tammy Garrett,(403) 265-0330,support@visoboutique.com,https://www.linkedin.com/in/tammy-garrett-58498b34/?originalSubdomain=ca,
JRAD Skin,https://jradskin.com/,"#25 2500 4TH ST SW, Calgary, AB, Canada, Alberta",Medical spa,Calgary,SW,JORDAN RADKE,403-455-5723,booking@jradskin.ca,https://ca.linkedin.com/in/jordan-radke-2b4b81148,
Medi Spa Calgary Clinic (placeholder),https://medispacalgaryclinic.ca,"1234 5th Avenue SW, Suite 200, Calgary, AB T2P 3C5, Canada",Medical spa,Calgary,SW,Dr. Amina Kapoor,(403) 555-0123,hello@medispacalgary.com,,
Skoah Calgary,https://skoah.com,"Deer Ridge Ln SE, Calgary, AB T2J 6N3",Medical spa,Calgary,Multiple,Andrea Scott,587-741-0661,fitskin@skoah.com,https://x.com/andreascott?lang=en,
Zulu Medical Cosmetics,https://zulumedicalcosmetics.com/,"324 58 Ave SE #1110, Calgary, AB T2H 0P1",Medical spa,Calgary,SE,Dr. Jeané Lombard,(403) 692-9858,care@zulumc.com,https://ca.linkedin.com/in/jean%C3%A9-lombard,
PHI Medical Aesthetics,https://beautyphi.com,"306-3332 20 St SW, Calgary, AB T2T 6T9",Medical spa,Calgary,SW,Lisa Iverson,(587) 885- 5693,lisa@beautyphi.com,https://www.instagram.com/phi.lisa.nurseinjector/,
PHI Medical Aesthetics 2,https://www.beautyphi.com/,"152 MAHOGANY CENTRE SW CALGARY, AB T3M 2V6",Medical spa,Calgary,SW,Lisa Iverson,(587) 391-5750,lisa@beautyphi.com,https://www.instagram.com/phi.lisa.nurseinjector/,
Dermapure Wildwood (Now Welcoming Calgary Downtown Patients),https://www.dermapure.com/en/locations/calgary/wildwood/,"636 45th Street SW, #202, Calgary, AB, T3C 2G2",Medical spa,Calgary,SW,Dr. John Arlette,403 216-4685,info@dermapure.ca,,
The Injectionist & Aesthetics,https://www.theinjectionist.ca/,"260A-3916 Macleod Trail SE, Calgary, AB T2G 2C5",Medical spa,Calgary,SE,Nika Sanguelini,403-255-0150,nika@theinjectionist.ca,https://ca.linkedin.com/in/nika-sanguellini-46591153,
Enhanced Beauty & Wellness (Connection with Brittney,https://www.enhancedbeauty.ca/,"#132, 3715 - 51st Street SW Calgary, AB T3E 6V2",Medical spa,Calgary,SW,Lisa Gibbons,403-369-3986,info@enhancedbeauty.ca,https://ca.linkedin.com/in/lisa-gibbons-57558b2a8,
Genesis Advanced Medical Aesthetics,https://www.calgaryskinclinic.com/,"1412 9 Ave SE Calgary, AB T2G 0T5",Medical spa,Calgary,SE,Cecille Visser,587-473-3338,cecille@genesisyyc.com / info@genesisyyc.com,https://ca.linkedin.com/in/cecille-visser-rn-bn-b5160b141,
Muto Beauty Centre,,"222 14 Ave SE, Calgary, AB T2G 1C7",Medical spa,Calgary,SE,Yi Ji,403-498-7776,info@mutobeauty.ca,,Not Confirmed/ Website not working
Elegance Medispa,https://elegancecalgary.com/,"124 8th st NE Calgary, AB T2E 1M2",Medical spa,Calgary,NE,Femeena Virani,403-452-9959,info@elegancecalgary.com,https://www.instagram.com/femeena_elegance_beauty/?hl=en,
Elante Rejuvenation,https://www.elanterejuvenation.ca/,"29 Na'a Drive SW Calgary, AB T3H 4E7",Medical spa,Calgary,SW,Ruby Wason,403-335-0555,info@elanterejuvenation.ca,,
Illume Skin & Laser,https://www.illumelaser.ca/,"2761 17th Ave SW, Calgary, Alberta",Medical spa,Calgary,SW,Nily Sharisat,403-910-1823,info@illumelaser.ca,https://www.instagram.com/illumelaser.nily/?hl=en,
Elysian Laser Aesthetics,https://www.elysianlaser.ca/laser-hair-removal-calgary/,"152 Mahogany Centre SE, Calgary, AB T3M 2V6",Medical spa,Calgary,SE,Alaina Crook,368-399-4013,info@elysianlaser.ca,https://ca.linkedin.com/in/alaina-crook-68358055,
The Laser Lab,https://www.thelaserlabyyc.ca/,"3114 Glenmore Ct Calgary, AB T2C2E6",Medical spa,Calgary,,Nada,403-408-6095,thelaserlabyyc@gmail.com,https://www.instagram.com/p/CzZWLnJP118/?hl=af,
Skin Laser Genesis,https://skinslasergenesis.com/,"#52-6130 1A ST SW, Calgary, AB T2H 0G3",Medical spa,Calgary,SW,Mary Manabap,403-640-4400,skinlasergenesis@gmail.com,,
Canada Skin And Laser Clinic,https://canadaskinandlaserclinic.square.site/,"320 55 Ave SW Calgary, Alberta T2H2Z6",Medical spa,Calgary,SW,Sadaf Iftikhar,587-971-8476,canadaskinandlaserclinic129@gmail.com,https://www.facebook.com/profile.php?id=100080968335872&sk=about,
MANA Aesthetics,https://manaaesthetics.janeapp.com/#/staff_member/1/bio,"11012 Macleod Trl SE #760, Calgary, AB T2J 6A5",Medical spa,Calgary,SE,Joumana Haddad,403-616-3668,manaaestheticsyyc@gmail.com,https://ca.nextdoor.com/pages/mana-aesthetics/,
NINA Aesthetics,https://ninaaesthetics.ca/,"2001 Kensington Rd NW, Calgary, AB, T2N 3M9",Medical spa,Calgary,NW,Nicole Wiebe,403-926-4016,info@ninaaesthetics.ca,https://ca.linkedin.com/in/nicole-wiebe-8841572a,
Utopia Spa Center - 2 Locations,https://www.utopiaspacenter.com/,"4014 Macleod Trail South Unit #314, Calgary, AB T2G 2R7",Medical spa,Calgary,South,,403-453-0897,info@UtopiaSpaCenter.com,,
luma by Dr. Amane,https://www.lumabydramane.com/,"#401, 933 17 Ave SW Calgary, Alberta T2T 5R6",Medical spa,Calgary,SW,Dr. Amane Abdul-Razzak,403-214-0074,lumabydramane@gmail.com,https://www.instagram.com/doctor.amane.md/?hl=en,
Illuminate Skin and Wellness,https://illuminateskintherapies.com/,"102-8445 Broadcast Ave SW Calgary, AB, T3H 6B6",Medical spa,Calgary,SW,Kayla Rance,587-897-5952,kaylarance@illuminateskintherapies.com,,
Vivi Aesthetics & Spa Edmonton Trail,https://www.vivispa.ca,"3715 Edmonton Trail Calgary, AB T2E 3P4",Medical spa,Calgary,,Vivian Yang,403-708-7654,vivianyang888@gmail.com,,contact not confirm
Natology Medi Spa,https://natology.ca/,"507, 18 Ave SW Calgary, Alberta T2S 0C7",Medical spa,Calgary,SW,Dr. Khadijah Haji,403-764-3600,admin@natology.ca,https://www.instagram.com/natology.drkhadijah/?hl=en,
Glass Skin Laser Boutique,https://www.glasskinlaser.com/,"3224a 28 St SW, Calgary, AB T3E 2J6, Canada",Medical spa,Calgary,SW,Nadine Beaucage,587-899-9757,support@glasskinlaser.com,https://www.instagram.com/nadinebeaucage/?hl=en,
Juvea Aesthetics Medi Spa,https://juveaaesthetics.ca/,"1742 29 St SW, Calgary, AB T3C 3X9, Canada",Medical spa,Calgary,SW,Hanan Atwi,(403) 975‑7523,hello@juveaaesthetics.ca,https://www.linkedin.com/in/hanan-a-12164a7b,
Bardöt Beauty Boutique,https://bardotbeauty.ca,"2207 4th Street SW #130, Calgary, AB T2S 1X1, Canada",Medical spa,Calgary,SW,Dr. Ashley Clerk,(403) 475‑4025,info@bardotbeauty.ca,https://ca.linkedin.com/in/ashley-clerk-83a038223,
Beauty lab & Wellness Medical spa,https://beautylabwellness.ca/,"1701 Centre St NW, Calgary, AB T2E 7Y2, Canada",Medical spa,Calgary,NW,Mrs. Tania Shah,587-582-7600,beauty.lab.wellness22@gmail.com,https://www.facebook.com/beautylabandwellness/about,
Avona Medical Aesthetics & Sknn Aesthetics,https://www.avonaaesthetics.ca/,"#201 - 1029 17TH AVE SW, CALGARY AB, T2T 0A9",Medical spa,Calgary,SW,Nevana Siever,(825) 559-5028,avonaaesthetics@gmail.com,https://ca.linkedin.com/in/nevana-siever-563a7b329,
Vivi Aesthetics & Spa (Downtown),https://www.vivispa.ca/,"1411 1st St SE, Calgary, AB T2G 2J3",Medical spa,Calgary,SE,Dr Vivian Yang,(403) 708-7654,info@vivispa.ca,https://www.instagram.com/vivispa.ca/,
Luxe Skincare & Esthetics,,"66 Brightondale Crescent SE, Calgary, AB, Canada, Alberta",Medical spa,Calgary,SE,Annie,(587) 777-0438,Luxe.skincareandesthetics@gmail.com,https://www.facebook.com/luxeskincareandesthetics/,
Signature Medical Aesthetics,https://signaturemedical.ca/,"513-1851 Sirocco Dr SW Calgary, Alberta T3H 4R5",Medical spa,Calgary,SW,Dr. Mukarram Zaidi,403-454-7550,INFO@SIGHEALTH.CA,,
Elite The Center For Skin,https://www.elitethecenterforskin.ca/,"3670 63 Ave NE Unit 250, Calgary, AB T3J 0S4",Medical spa,Calgary,NE,Dr. Camilo,(403) 880-0963,info@elitethecenterforskin.ca,,
Radiance Skin Rejuvenation Centre,https://www.radianceskincentre.com/,"2128 Kensington Rd NW, Calgary, AB T2N 3R7",Medical spa,Calgary,NW,Dr. May P. Siu,403-270-8075,info@radianceskincentre.com,,
Envy Beauty Lab + Laser,https://envybeautylablaser.com/,"103, 7004 Macleod Trail SE, T2H 0L3",Medical spa,Calgary,SE,Lindsey Garrett,403.281.2255,lindsey@envybeautylablaser.com,https://www.instagram.com/np_liuba/?hl=en,
Elevate Medical spa Calgary,https://www.elevateskinstudios.com/,"11566 24 St SE Bay #218, Calgary, AB T2Z 3J3",Medical spa,Calgary,SE,Jan Marini,(403) 740-3536,elevateskinstudios@gmail.com,,
Calgary Vein & Laser,https://ywclinic.ca/,"10201 Southport Rd SW #225, Calgary, AB T2W 4X9",Medical spa,Calgary,SW,Debbie McFarlane,(403) 252-4410,debbie@calgaryveinlaser.ca,https://ca.linkedin.com/in/deborah-mcfarlane-46b66593,
The Aesthetic Room,https://www.theaestheticroomyyc.com/,"226 26 Ave NE, Calgary, AB T2E 1Y9",Medical spa,Calgary,NE,Jordan,403-988-5264,admin@theaestheticroomyyc.com,,
Medical Aesthetics by Jessica,https://www.instagram.com/jessica.injectionista/?hl=en,"19 Masters Green SE, Calgary, AB T3M 2T4",Medical spa,Calgary,SE,Jessica,587-832-0880,jessica.injectionista@gmail.com,https://www.instagram.com/jessica.injectionista/?hl=en,
The Aesthetic Clinic,https://tac.aestheticclinicgroup.com/,"11 Ave SW Suite 1212, Calgary, AB T3C 0M4",Medical spa,Calgary,SW,Ifeoma Abajue,(368) 399 5944‬,info@aestheticclinicgroup.com,,
Dermapure Chaparral,https://www.dermapure.com/en/locations/calgary/chaparral/,"2150 - 1800 194 Ave SE Calgary, AB T2X 0R3",Medical spa,Calgary,SE,Dr. Joshua Lam,403 719-6523,j.lam@dermapure.com,https://www.instagram.com/drlamaesthetics/?hl=en,
New Skin YYC Laser & Skincare,https://newskinyyc.ca/,"5116 Elbow Drive SW Calgary, AB, T2V 1H1",Medical spa,Calgary,SW,Melanie Rodrigues,587-857-5407,info@newskinyyc.ca,https://ca.linkedin.com/in/melanie-rodrigues-newskinyyc,
The Symm Label,https://www.thesymmlabel.ca/,"#417, 1011 Glenmore Trail SW Calgary, AB T2V 4R6",Medical spa,Calgary,SW,Jillian Schenk,403-463-6624,helloteam@thesymmlabel.ca,https://www.instagram.com/aestheticnurse.yyc/,
Skinfluence Medical Spa,https://www.skinfluence.ca/,"1851 Sirocco Dr SW Unit 108, Calgary, AB T3H 4R5",Medical spa,Calgary,SW,Dr. Farzana Kurwa,403-978-7546,skinfluence@skinfluence.ca,,
Century Derma Lounge,https://centurydermalounge.com/,"4624 16th Avenue NW, Calgary, AB, T3B 0M8",Medical spa,Calgary,NW,Cheryl Brown,403-764-8076,info@centurydermalounge.com,,Contact not confirmed
RnD Skin Co.,https://rndskinco.ca/,"Unit #7 - 4948 126th Ave SE, Calgary, AB T2Z0A9",Medical spa,Calgary,SE,Danielle Miner,825-205-5455,info@rndskinco.ca,https://www.facebook.com/danielle.killian2/,
Dare Medical Aesthetics,https://www.daremedicalaesthetics.ca/,"264 Midpark Way SE #209, Calgary, AB T2X 1J6",Medical spa,Calgary,SE,Monique Bryson,403-873-7734,beauty@daremedicalaesthetics.ca,https://ca.linkedin.com/in/monique-bryson-41a5845b,
Halo Beauty Bar,https://halobeautybar.com/,"1014 1 St SE Studio #1 Calgary, AB T2G 2G5",Medical spa,Calgary,SE,Michelle Quazi,368-886-3578,info@halobeautybar.com,,
Ovilaser Medical Spa,https://www.ovilasermedispa.com/,"1235 17 Ave SW #2, Calgary, AB T2T 0C2",Medical Spa,Calgary,SW,Linda Rodriguez,403-390-7972,info@ovilasermedispa.com,,
Aisthetikos Wellness & Advanced Medical Aesthetics,https://aisthetikos.ca/,"#201 – 2040 34th Ave SW Calgary, AB T2T 2C3",Medical spa,Calgary,SW,Ally Kroeker,587-714-2545,ally.kroeker@galderma.com / info@aisthetikos.ca,https://www.linkedin.com/in/ally-kroeker-03599b215,
The MM Clinic,https://www.themmclinic.ca/,"2312 4 St SW Suite A, Calgary, AB T2S 1X2, Canada",Medical spa,Calgary,SW,Monica Sandhar,(587) 891‑5030,hello@themmclinic.ca,https://www.instagram.com/the.monicamethod/#,
Skin Science Aesthetics,http://www.skinscience.md/,"1011 Glenmore Tr SW Calgary, Alberta CANADA T2V 4R6",Medical spa & Skin care,Calgary,SW,Marie Bertrand,403 287 1477,info@skinscience.md,https://www.instagram.com/theskinscientist/,
,https://www.realself.com/dr/gregory-d-waslen-calgary-ab,"1030 – 10th Avenue South West, Calgary, Alberta",Cosmetic & Fat Grafting,Calgary,SW,Dr. Waslen,403-228-1313 (office) / 403-899-5829 (Claudia),reception@plasticsurgerycentre.ca,,
,https://www.drfarrahyau.com/,"1035 64 Ave SE Suite #200, Calgary, AB T2H 2J7, Canada",Cosmetic & Fat Grafting & Reconstruction,Calgary,SW,Dr. Farrah Yau,587-352-3260 (office),heatherforemsky@gmail.com,,
,http://artandfact.ca/,"2403 33 Ave SW Unit 1, Calgary, AB T2T 2A2, Canada",Cosmetic & Liposuction,Calgary,SW,Dr. Justin Yeung,403-800-9157 (office),office@artandfact.ca,,
,https://www.artandfact.ca/,1 - 2403 33 Avenue SW Calgary AB T2T 2A2,Cosmetic & Liposuction,Calgary,SW,Dr. Aaron Knox,403-800-9157 (office),office@artandfact.ca,,
,https://www.artandfact.ca/?utm_source=Beautifi&utm_medium=website&utm_campaign=beautifi_partner_profile&utm_content=external_website,2403 33 Avenue SW Calgary AB T2T 2A2,Cosmetic & Liposuction,Calgary,SW,Dr. Alex Hatchell,403-800-9157 (office),office@artandfact.ca,,
,https://search.cpsa.ca/PhysicianProfile?e=f5700966-98f7-4c4e-9e17-0a01c92eee8d&i=928,"2403 33 Avenue Southwest. Unit 1. Calgary, Alberta, Canada",Cosmetic & Liposuction,Calgary,SW,Dr. Peter Mankowski,403-800-9157 (office),office@artandfact.ca,,
,https://unityhealth.to/physician-directory/maleka-ramji/,,Cosmetic,Calgary,SW,Dr. Maleka Ramji,416-765-8008,office@artandfact.ca,,
Dr. Kristina Zakhary,https://www.facialcosmeticsurgery.ca/,"2303 4 St SW #404, Calgary, AB T2S 2S7, Canada",Plastic surgery,Calgary,SW,Dr. Kristina Zakhary,403-775-2583,,https://www.facebook.com/profile.php?id=100041697807261#,
Macleod Trail Plastic Surgery,https://www.macleodtrailplasticsurgery.ca/,"7425 Macleod Trl SW, Calgary, AB T2H 0L8, Canada",Plastic surgery,Calgary,SW,Dr. Humphreys,(403) 242-5080,info@mtps.ca,https://www.facebook.com/macleodtrailplasticsurgery/,
"Jeffrey C. Dawes MD, FRCSC",https://www.beautifulnaturalyou.ca/,"47 Sunpark Dr SE #102, Calgary, AB T2X 3V4, Canada",Plastic surgery,Calgary,SW,Dr. Dawes,403-571-3141,info@jeffreycdawesmd.com,https://www.instagram.com/jeffreycdawesmd/,
Dr. Paul Whidden,https://www.macleodtrailplasticsurgery.ca/about-us/our-surgeons/dr-whidden?utm_source=google&utm_medium=local&utm_campaign=calgary-whidden-website,"7425 Macleod Trl SW, Calgary, AB T2H 0L8, Canada",Plastic surgery,Calgary,SW,Dr. Paul Whidden,403-228-2684,drwhidden@mtps.ca,https://www.facebook.com/DrPaulWhidden/,
"Demsey Plastic Surgery: Daniel Demsey, MD",https://www.demseymd.ca/?utm_source=google&utm_medium=local&utm_campaign=calgary-demsey-website,"3007 14 St SW #301, Calgary, AB T2T 3V6, Canada",Plastic surgery,Calgary,SW,,403-209-4333,,,
